Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
GW-9880	0.61	1.83	32.93	1.63	19.65	19.48	73.15	207.74	5.12	1.78	1.96	0.75	1.08	24.57	-4.37	-0.26	1.59	10.35	-0.93	0.13
GW-9882	0.61	1.78	29.48	1.43	18.47	17.91	63.08	154.84	5.21	1.77	0.56	1.11	1.0	18.34	-3.38	-0.85	1.88	6.91	-1.35	-0.99
GW-9884	0.61	1.83	37.27	1.59	18.34	18.66	84.02	203.76	4.81	1.78	0.64	1.09	0.93	16.09	-4.55	-0.64	2.43	10.08	-1.07	0.11
GW-9885	0.61	1.82	31.05	1.52	19.54	18.76	72.24	181.31	5.6	1.72	1.41	0.59	1.01	23.09	-4.28	-0.53	2.36	7.93	-0.97	-0.47
GW-9886	0.61	1.81	36.76	1.72	19.06	18.72	79.72	198.14	5.12	1.7	1.46	0.94	0.95	14.5	-5.65	-0.55	2.14	8.32	-0.95	-0.27
GW-9887	0.61	1.8	33.46	1.64	19.54	19.77	75.16	255.56	6.51	1.7	1.76	0.69	0.99	32.24	-6.11	-0.36	2.18	14.12	-0.46	0.48
GW-9889	0.61	1.73	37.12	1.67	19.03	19.46	84.55	247.24	6.07	1.75	2.05	1.18	0.99	20.52	-4.94	-0.29	2.43	13.42	-1.07	-0.15
GW-9890	0.61	1.87	31.75	1.51	19.56	20.08	83.62	218.67	6.34	1.76	1.56	0.75	0.99	23.6	-3.32	-0.26	1.61	11.26	-1.12	0.05
GW-9892	0.61	1.73	30.95	1.63	19.06	18.8	85.33	191.24	5.88	1.77	1.39	0.61	1.05	19.37	-3.73	-0.8	1.96	9.47	-0.89	-0.86
GW-9896	0.61	1.82	37.59	1.66	20.35	19.71	79.68	260.36	6.11	1.73	1.9	0.94	0.99	27.82	-4.37	-0.5	2.1	14.75	-0.65	-0.22
GW-9898	0.61	1.76	31.03	1.59	19.21	19.63	75.79	154.47	5.78	1.73	1.09	1.25	0.95	24.71	-3.95	-0.7	1.72	6.71	-0.89	-0.72
GW-9899	0.61	1.74	33.49	1.68	18.98	19.38	77.78	201.13	6.02	1.73	2.33	1.19	0.98	27.28	-4.37	-0.29	1.69	10.36	-0.79	-0.01
GW-9901	0.61	1.7	35.06	1.59	19.32	19.54	70.36	193.4	5.42	1.76	1.49	0.49	1.0	21.32	-5.6	-0.57	2.04	8.88	-0.97	-0.68
GW-9903	0.61	1.83	35.2	1.61	18.64	18.45	84.42	173.39	5.88	1.8	1.46	1.35	0.87	23.73	-4.31	-0.7	1.73	8.22	-0.95	-0.58
GW-9904	0.61	1.76	31.57	1.45	19.37	18.79	77.48	208.63	5.89	1.75	1.2	1.1	1.01	27.4	-3.63	-0.48	1.95	10.82	-1.14	-0.21
GW-9905	0.61	1.8	33.96	1.69	19.06	19.47	84.41	213.81	6.39	1.74	2.28	0.48	1.0	21.74	-5.71	-0.41	1.83	10.84	-0.77	0.11
GW-9907	0.61	1.97	29.97	1.7	19.17	19.6	77.46	213.47	5.92	1.75	2.2	1.41	0.91	23.76	-4.15	-0.36	1.46	10.12	-1.17	-0.27
GW-9910	0.61	1.78	31.45	1.54	18.59	18.1	91.42	195.64	5.4	1.76	0.75	0.72	1.01	21.41	-3.57	-0.59	2.72	9.69	-0.97	-0.36
GW-9911	0.61	1.76	33.17	1.46	20.02	19.22	80.24	211.37	6.09	1.7	2.21	1.05	1.04	24.38	-5.22	-0.22	2.46	9.78	-0.99	-0.13
GW-9912	0.61	1.85	32.97	1.51	19.78	19.53	72.31	236.07	5.85	1.77	2.28	1.27	1.02	21.89	-3.77	-0.35	1.39	12.57	-1.12	-0.32
GW-9914	0.61	1.74	31.4	1.5	18.84	18.88	73.83	178.94	5.24	1.8	0.44	1.04	1.03	23.11	-3.21	-0.46	1.86	8.28	-1.26	-0.86
GW-9918	0.61	1.75	36.92	1.61	19.41	19.73	81.61	245.43	6.06	1.73	2.23	1.14	1.11	22.96	-5.9	0.08	2.1	13.22	-1.23	0.19
GW-9919	0.61	1.76	26.14	1.69	18.29	18.18	69.53	162.54	5.43	1.71	1.29	1.24	0.99	17.75	-5.32	-0.66	1.8	7.5	-0.79	-0.47
GW-9920	0.61	1.78	39.33	1.61	19.01	19.44	82.76	247.31	6.9	1.77	1.91	1.18	0.97	28.98	-3.5	-0.29	2.63	13.14	-0.34	0.11
GW-9922	0.61	1.86	29.49	1.58	19.26	18.67	82.17	192.01	5.41	1.78	2.52	0.7	1.0	21.17	-3.4	-0.33	2.48	9.07	-1.14	-0.23
GW-9947	0.61	1.83	31.93	1.62	19.57	18.96	73.81	234.73	4.88	1.72	0.91	1.12	0.95	20.93	-5.6	-0.26	1.74	11.07	-1.69	0.15
GW-9952	0.61	1.88	35.92	1.57	19.74	19.68	89.92	209.82	5.44	1.76	2.36	0.95	1.02	22.59	-4.12	-0.39	2.45	10.05	-1.32	-0.1
GW-9955	0.61	1.94	30.43	1.37	19.56	19.44	75.15	212.49	4.54	1.7	0.47	0.52	0.91	26.14	-4.09	-0.61	1.82	10.47	-1.23	-0.37
GW-9959	0.61	1.8	37.16	1.38	19.7	20.17	72.06	222.34	5.85	1.8	1.45	1.09	0.96	27.28	-4.12	-0.08	1.85	11.45	-0.87	0.18
GW-9961	0.61	1.88	36.5	1.53	19.57	19.22	84.34	239.38	5.88	1.8	0.4	1.13	0.96	23.48	-3.57	-0.57	2.4	11.98	-1.32	-0.24
GW-9964	0.61	1.85	33.04	1.48	19.87	19.84	73.68	252.4	5.68	1.72	2.27	1.26	0.94	23.14	-4.9	-0.5	1.73	13.45	-1.23	0.16
GW-9965	0.61	1.76	35.9	1.37	18.74	18.49	70.99	219.21	5.31	1.7	1.77	1.02	1.01	17.94	-4.86	-0.68	1.67	11.73	-1.35	-0.1
GW-9966	0.61	1.73	35.55	1.43	19.19	18.48	65.71	173.35	5.66	1.78	0.68	0.64	0.94	18.77	-2.98	-0.77	2.4	8.25	-1.54	-0.9
GW-9967	0.61	1.8	40.21	1.38	18.66	18.16	81.92	215.04	4.73	1.82	1.31	1.03	1.03	19.21	-3.36	-0.48	2.24	10.08	-1.59	-0.97
GW-9968	0.61	1.8	32.72	1.52	18.46	18.03	81.7	193.81	4.91	1.71	1.67	1.8	1.11	20.94	-5.71	-0.91	2.22	8.96	-1.23	-0.5
GW-9969	0.61	1.85	37.19	1.56	19.2	18.98	75.03	239.25	5.79	1.69	2.79	1.27	1.16	23.2	-5.32	-0.61	2.16	12.2	-1.14	-0.13
GW-9971	0.61	1.84	36.16	1.26	19.09	19.07	74.64	225.95	5.22	1.75	1.59	1.23	1.01	22.41	-2.13	-0.52	1.89	11.62	-1.8	-0.66
HARA-26-2	0.61	1.71	34.77	1.35	19.68	19.83	81.57	209.07	6.28	1.74	0.9	1.36	0.99	24.64	-3.88	-0.23	1.71	10.82	-0.93	-0.44
HARB-26-4	0.61	1.86	39.24	1.63	19.6	19.44	73.99	275.03	6.43	1.77	2.44	1.46	0.94	27.86	-5.22	-0.18	1.52	15.37	-1.04	0.07
HARB-26-5	0.61	1.91	39.42	1.59	19.05	19.32	79.02	236.92	5.12	1.74	1.93	1.37	1.06	23.85	-3.95	-0.73	2.36	12.71	-0.99	-0.17
HARC-26-1	0.61	1.74	36.43	1.62	19.5	19.01	81.77	199.33	6.15	1.7	2.25	1.32	0.94	24.87	-4.18	-0.44	2.16	9.25	-0.91	-0.19
HARC-26-4	0.61	1.7	33.2	1.64	19.45	19.28	67.63	207.66	5.68	1.74	2.8	1.49	1.04	19.5	-5.27	-0.07	1.2	9.99	-0.97	-0.37
HARC-26-5	0.61	1.82	36.04	1.59	18.57	18.55	84.23	213.46	4.4	1.74	0.24	1.1	0.95	22.76	-3.5	-0.59	2.43	10.28	-1.04	-0.72
HIRD-12-2	0.61	1.88	37.11	1.58	20.51	20.48	64.43	257.79	6.57	1.68	1.55	1.6	0.99	25.66	-4.51	-0.33	0.81	14.6	-0.89	0.05
HOMA-21-2	0.61	1.73	39.48	1.4	18.79	18.55	69.16	252.15	5.34	1.74	0.35	1.21	1.09	22.14	-6.25	-0.66	2.4	13.38	-0.87	-0.33
HOMB-21-2	0.61	1.81	43.52	1.43	19.49	19.64	69.82	266.17	5.2	1.69	2.36	1.5	1.02	26.57	-4.51	-0.66	1.38	14.08	-0.83	0.84
HOMB-21-4	0.61	1.76	35.26	1.67	18.41	18.59	77.47	207.63	5.24	1.78	2.75	1.48	1.08	19.3	-5.84	-0.39	2.09	10.69	-1.02	-0.44
HOMC-21-1	0.61	1.76	34.1	1.62	19.3	19.8	89.35	211.72	5.8	1.7	1.47	1.46	1.09	27.1	-3.4	-0.59	2.23	10.85	-0.99	-0.5
HOMC-21-3	0.61	1.76	33.94	1.68	19.86	20.05	77.07	214.38	6.11	1.77	2.44	1.19	1.06	23.03	-6.48	-0.48	1.81	11.0	-0.56	-0.24
HOMC-21-4	0.61	1.71	36.86	1.44	19.85	19.53	80.87	224.4	5.67	1.71	2.22	0.79	1.0	25.98	-3.3	-0.22	2.11	11.08	-0.95	-0.49
HOMD-21-1	0.61	1.92	32.62	1.78	19.86	18.85	77.07	198.02	4.46	1.75	1.94	1.31	1.06	24.48	-5.03	-0.66	1.68	8.82	-1.02	-0.55
HOMD-21-2	0.61	1.86	33.75	1.84	19.29	19.13	70.8	200.48	5.88	1.73	2.12	0.81	1.01	20.32	-5.17	-0.61	1.8	9.6	-0.3	0.08
HOMD-21-3	0.61	1.87	36.39	1.35	19.49	19.05	71.25	226.32	5.44	1.78	2.46	1.04	1.06	27.12	-3.9	-0.2	1.94	11.54	-0.56	-0.4
HOMD-21-4	0.61	1.84	38.24	1.5	18.49	18.66	70.22	220.49	4.83	1.74	0.84	1.77	1.19	18.43	-3.32	-0.73	1.28	11.33	-0.87	-0.61
HOPF-27-1	0.61	1.81	39.07	1.35	19.08	18.89	75.36	183.21	5.16	1.72	0.89	0.7	0.96	28.87	-4.01	-0.66	1.64	8.34	-1.14	-0.37
HOPF-27-5	0.61	1.74	33.45	1.68	19.13	19.31	80.3	233.13	5.59	1.83	2.85	1.22	0.86	17.62	-5.54	-0.64	1.75	11.78	-0.91	-0.17
HOPG-27-1	0.61	1.78	34.16	1.52	18.82	18.84	91.79	196.94	5.73	1.76	0.94	1.52	0.98	21.75	-2.31	-0.57	3.12	9.42	-1.12	-0.95
HOPG-27-3	0.61	1.73	33.56	1.37	19.78	20.07	84.21	189.23	5.79	1.72	2.42	1.28	0.98	19.83	-4.94	-0.59	2.47	8.52	-1.29	-0.32
