Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
GW-11012	205.36	29.96	1212	16.21	2299	1889	8338	8668	121.86	59.12	4.8		5.24	170.87	0.062	0.62	5.78	32.47	0.5	1.37
GW-11014	297.58	30.87	1212	7.7	2110	1440	6249	5689	61.84	85.46	1.46	1.04	3.87	120.36	0.101	0.73	2.94	19.99	0.28	0.43
GW-11015	429.87	34.97	1771	24.87	2893	2053	9040	12861	169.15	76.08	7.57	4.2	6.63	228.75	0.066	0.7	6.77	52.42	0.63	1.42
GW-11019	465.77	45.72	1726	11.95	2540	1851	7149	8377	90.5	84.37	2.38	2.45	5.5	220.89	0.086	0.64	4.38	26.37	0.25	1.04
GW-11021	445.38	46.92	1809	8.34	2921	1614	8431	9068	55.6	127.72	2.59	2.85	4.85	160.15	0.164	0.66	6.62	30.1	0.19	0.67
GW-11024	386.86	29.78	1352	11.17	2395	1662	7039	6920	59.65	57.24	1.83	1.77	4.47	81.08	0.081	0.74	4.96	24.38	0.2	0.48
GW-11025	228.79	28.36	2210	10.52	2605	1720	6955	12906	60.32	102.04	4.51	3.78	13.67	223.86	0.079	0.55	6	45.84	0.2	0.8
GW-11027	186.78	25.98	1641	43.04	2249	1697	7783	9594	78.19	54.83	6.28	4.18	4.88	110.51	0.062	0.6	6	40.33	0.37	0.69
GW-11032	240.58	30.03	1323	12.56	2794	1865	11241	10248	62.58	73.06	5.13	4.56	5.64	164.77	0.097	0.68	9.98	39.56	0.17	0.74
GW-11033	174.04	36.08	1736	11.44	2604	2036	8513	8555	89.73	116.76	2.22	1.76	5	177.71	0.132	0.6	6.35	32.62	0.26	0.65
GW-11034	462.3	64.08	1275	9.58	2254	1445	7341	6095	44.22	60.04	2.63			153.17	0.122	0.68	4.06	21.64	0.13	0.53
GW-11037	238.95	40.86	1098	10.13	2279	1563	7344	6005	92.75	141.51	2.66	1.82	13.65	175.76	0.163	0.57	5.97	21.14	0.16	0.67
GW-11038	224.71	32.14	1860	18.69	2728	1947	9289	12537	128.34	64.5	6.97	3.68	7.2	190.17	0.069	0.56	7.2	47.97	0.32	1.29
GW-11041	548.21	49.15	979	14.8	2657	1890	14164	5298	95.8	68.82	6.02	3.6		201.58	0.076	0.77	10.91	14.66	0.28	0.7
GW-11042	266.55	92.11	1512	28.4	2920	1864	13153	8088	77.66	89.82	8.86	6.52	7.48	139.71	0.117	0.79	15.87	23.85	0.24	0.9
GW-11044	528.04	64.3	1378	18.38	2525	1600	8259	7292	113.39	71.72	5.2	3.54	5.74	200.7	0.068	0.65	6.4	22.52	0.17	1.03
GW-11046	198.64	31.24	1197	7.76	2045	1525	7557	4984	63.84	198.66	1.61	1.41	4.61	104.01	0.127	0.59	3.14	14.92	0.14	0.35
